id,category,question,answer,business_type,monthly_income,monthly_expense,profit,profit_margin,date,network,location,risk_level
1,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Bakery,5000.0,,-500.0,30.0,2026-01-15,Telecel,,High
2,Savings,Susu advice,Save 10-30% of profits and keep emergency funds.,Trader,5000.0,2500.0,2500.0,25.0,2026-01-05,MTN,Ho,Medium
3,Budgeting,Margin example,Profit Margin=(Profit/Revenue)*100,Trader,15173.0,2000.0,0.0,25.0,2026-01-15,,Ho,High
4,Budgeting,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Boutique,5000.0,2000.0,-500.0,25.0,2026-01-05,,Kumasi,
5,Savings,Budget tips,Track income and expenses. Separate business and personal money.,Trader,5000.0,,300.0,25.0,2026-01-05,Telecel,Kumasi,
6,Mobile Money Fraud,Monthly budget template,Track income and expenses. Separate business and personal money.,Salon,2044.0,,,25.0,2026-01-05,,Accra,Low
7,Mobile Money Fraud,Monthly budget template,Track income and expenses. Separate business and personal money.,Farmer,,2500.0,-500.0,,2026-01-15,,Takoradi,High
8,Mobile Money Fraud,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Restaurant,,,300.0,25.0,2026-01-05,Telecel,Wa,Low
9,Savings,budjet help,Track income and expenses. Separate business and personal money.,General,5000.0,,,30.0,,Telecel,Tamale,High
10,Savings,Susu advice,Save 10-30% of profits and keep emergency funds.,Food Vendor,,10242.0,300.0,,2026-01-05,Telecel,Cape Coast,
11,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,General,2240.0,2500.0,-260.0,30.0,,AirtelTigo,Tamale,Medium
12,Budgeting,Emergency fund,Save 10-30% of profits and keep emergency funds.,Food Vendor,,2500.0,,25.0,2026-01-05,Telecel,Bolgatanga,High
13,Mobile Money Fraud,Margin example,Profit Margin=(Profit/Revenue)*100,Salon,12319.0,22149.0,-9830.0,-79.8,2026-01-13,Telecel,,Low
14,Profit Margin,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Restaurant,5000.0,1341.0,3659.0,73.2,2026-01-13,MTN,Kumasi,High
15,Mobile Money Fraud,Monthly budget template,Track income and expenses. Separate business and personal money.,General,5000.0,,-500.0,-10.0,2026-01-05,MTN,Wa,Medium
16,Savings,Margin example,Profit Margin=(Profit/Revenue)*100,Boutique,12163.0,2500.0,0.0,30.0,2026-01-15,,Cape Coast,High
17,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,Restaurant,,2000.0,300.0,30.0,2026-01-05,MTN,Takoradi,High
18,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Farmer,5113.0,2500.0,300.0,5.9,2026-01-13,Telecel,Cape Coast,Low
19,Budgeting,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Retail Shop,26589.0,2500.0,24089.0,30.0,2026-01-15,MTN,Sunyani,Medium
20,Savings,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Trader,,,-500.0,30.0,2026-01-13,Telecel,Sunyani,Medium
21,Budgeting,budjet help,Track income and expenses. Separate business and personal money.,Retail Shop,5000.0,2500.0,-500.0,30.0,2026-01-05,,Accra,
22,Budgeting,save tips,Save 10-30% of profits and keep emergency funds.,Salon,5000.0,,,25.0,2026-01-05,Telecel,Takoradi,Low
23,Budgeting,Daily savings,Save 10-30% of profits and keep emergency funds.,Boutique,21158.0,,-500.0,30.0,2026-01-15,MTN,Ho,Low
24,Profit Margin,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Retail Shop,,2500.0,,30.0,2026-01-05,AirtelTigo,Sunyani,
25,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Farmer,5000.0,2500.0,2500.0,50.0,,MTN,Wa,Low
26,Profit Margin,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Salon,5000.0,2500.0,300.0,6.0,,MTN,Sunyani,Medium
27,Savings,Emergency fund,Save 10-30% of profits and keep emergency funds.,Boutique,,,,,2026-01-05,Telecel,Cape Coast,Medium
28,Mobile Money Fraud,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Retail Shop,5000.0,,-500.0,30.0,2026-01-05,MTN,Takoradi,Low
29,Savings,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Salon,13973.0,,300.0,2.1,2026-01-05,Telecel,Ho,High
30,Budgeting,Calculate profit margin,,Boutique,5000.0,2000.0,3000.0,30.0,2026-01-13,MTN,Accra,
31,Mobile Money Fraud,Budget tips,Track income and expenses. Separate business and personal money.,Food Vendor,29495.0,10046.0,19449.0,65.9,2026-01-05,,Accra,Low
32,Mobile Money Fraud,proffit margin,Profit Margin=(Profit/Revenue)*100,Salon,5000.0,,,,2026-01-15,AirtelTigo,Tamale,High
33,Savings,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Pharmacy,,2500.0,-500.0,25.0,2026-01-13,MTN,Cape Coast,
34,Mobile Money Fraud,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Retail Shop,5000.0,8512.0,0.0,0.0,2026-01-15,MTN,Cape Coast,Low
35,Mobile Money Fraud,How can I save money?,Save 10-30% of profits and keep emergency funds.,Trader,,3035.0,,25.0,2026-01-05,,,
36,Budgeting,Margin example,Profit Margin=(Profit/Revenue)*100,Retail Shop,23728.0,2500.0,0.0,25.0,2026-01-05,Telecel,,
